# openproj CI durations after the template cache, measured not estimated
#
# Run:     https://github.com/jcanton/openproj/actions/runs/32633361097
# Job:     check, ubuntu-latest, 2026-08-23T10:17:44Z -> 2026-08-23T10:29:52Z (728s)
# Commit:  d979881 on branch ci-speed (PR #72) — the same tree as the run in
#          ci-durations.txt plus the template-compilation cache in render.py and
#          the one regex in test_render.py.
# Command: uv run pytest -q --durations=0 --durations-min=0.05
# Result:  1687 passed, 5 warnings in 711.04s (0:11:51), against 1392.75s before.
#
# The runner, from the probe step in the same job:
#   nproc            2
#   free -m          Mem: 7942 total, 6821 available; Swap: 3071
#   df -h /dev/shm   tmpfs 3.9G
#   google-chrome    151.0.7922.137
# So `ubuntu-latest` on this PRIVATE repository is the 2-core / 8 GB box, not the
# 4-core / 16 GB one public repositories get. `-n auto` here means `-n 2`.
#
# Per-step wall clock from the jobs API (seconds):
#   Set up job 1, checkout 1, setup-uv 3, setup-node 0, uv sync 1, probe 2,
#   ruff 0, pytest 713, post steps 1. Nine seconds is still not pytest.
#
# The table below is verbatim from the run log, timestamps stripped. 732 rows
# summing to 675.79s of the 711.04s pytest reported.
#
# Phase split of those 732 rows: setup 59.26s, call 600.60s, teardown 15.93s.
# Setup was 519.23s before; 460s of it was compiling templates.
2.04s call     tests/test_editor.py::test_ending_a_session_leaves_the_surface_by_every_door
2.04s call     tests/test_editor.py::test_the_editor_switch_says_which_editor_it_is_and_that_it_reloads[?editor=plain-False]
2.04s call     tests/test_card.py::test_a_nine_hundred_word_document_does_not_cover_the_table
2.03s call     tests/test_seats.py::test_nobody_is_drawn_a_band_for_themselves
2.03s call     tests/test_table.py::test_a_dragged_table_still_fits_the_window_it_is_looked_at_in
2.03s call     tests/test_editor.py::test_there_is_no_handle_where_there_is_nothing_to_divide[936]
2.03s call     tests/test_facets.py::test_a_link_opens_with_its_boxes_ticked
2.03s call     tests/test_seats.py::test_the_room_draws_a_band_where_somebody_else_is
2.03s call     tests/test_editor.py::test_the_separator_hands_back_every_key_that_carries_a_modifier
2.03s call     tests/test_editor.py::test_a_preview_that_has_been_overtaken_is_called_off
2.03s call     tests/test_coedit.py::test_the_timer_survives_a_failure_the_tuple_does_not_name
2.03s call     tests/test_coedit.py::test_a_write_that_fails_is_a_refusal_and_not_an_escape
2.03s call     tests/test_coedit.py::test_a_refused_room_tries_again_on_the_next_window
2.02s call     tests/test_table.py::test_the_header_fits_at_the_width_the_fit_may_squeeze_it_to
2.02s call     tests/test_editor.py::test_a_drag_the_browser_takes_away_lets_go_of_the_join
2.02s call     tests/test_editor.py::test_the_box_and_the_column_beside_it_are_one_face
